"tau_i","T_i","sim_i","template_i"
8,52,0.582540437948215,2
59,54,0.831443042186426,2
151,70,0.680699694075023,1
237,109,0.884596795456724,1
370,82,0.898560485153083,1
451,79,0.919510593255333,1
529,76,0.898330337093997,1
604,74,0.934373279918354,1
677,77,0.87018977047268,1
753,75,0.943410615716405,1
827,76,0.822897150330273,1
902,77,0.943804794068221,1
978,75,0.865829007024408,1
1052,75,0.933225465499264,1
1126,77,0.881704041772549,1
1202,77,0.899826101379366,1
1278,75,0.925596724257434,1
1352,76,0.935129233173098,1
1427,75,0.855458226389745,1
1501,76,0.915542613728613,1
1576,77,0.894808355357947,1
1652,77,0.903899741979455,1
1728,78,0.913852515078292,1
1805,78,0.920024170258348,1
1882,78,0.930990547657321,1
1959,78,0.936125377737614,1
2036,77,0.855125374767142,1
2112,77,0.928810298806058,1
2188,77,0.91205405513675,1
2264,76,0.933552773770765,1
2339,77,0.877236329064502,1
2415,78,0.919407731496706,1
2492,76,0.866948675871457,1
2567,78,0.913555160190317,1
2644,76,0.929281043435201,1
2719,77,0.879158080172522,1
2795,78,0.912514887090965,1
2872,76,0.921043204761112,1
2947,76,0.890355654976319,1
3022,76,0.91563280083676,1
3097,78,0.936801137285062,1
3174,78,0.944432058478163,1
3251,78,0.902294054241694,1
3328,77,0.924603196698158,1
3404,75,0.843071485070512,1
3478,77,0.932223406320711,1
3554,78,0.849011036235867,1
3631,77,0.934099969722673,1
3707,77,0.885805868701704,1
3783,77,0.929388429216811,1
3859,76,0.943631328720894,1
3934,78,0.875483612759396,1
4011,78,0.922150290269601,1
4088,77,0.930147181557408,1
4164,77,0.931518561595072,1
4240,78,0.934633400499336,1
4317,75,0.946910314508237,1
4391,77,0.864924606537212,1
4467,79,0.925717653506228,1
4545,79,0.93734084783408,1
4623,79,0.87522106451407,1
4701,79,0.922458843548139,1
4779,80,0.876161988877785,1
4858,79,0.926314748854493,1
4936,77,0.904439324550851,1
5012,77,0.934015454471199,1
5088,79,0.926263620024618,1
5166,77,0.945588873235838,1
5242,79,0.920073118512847,1
5320,77,0.929587396415016,1
5396,78,0.867464166373371,1
5473,77,0.936981680495205,1
5549,79,0.893258152823541,1
5627,77,0.928829479740104,1
5703,79,0.881354525841262,1
5781,78,0.929766647833935,1
5858,80,0.876257682748532,1
5937,81,0.913448856729532,1
6017,80,0.920369969920971,1
6096,80,0.927760886986103,1
6175,79,0.928497894253152,1
6253,79,0.862000527423898,1
6331,78,0.933275450480226,1
6408,78,0.940719728011777,1
6485,78,0.837801089546192,1
6562,78,0.927800259500812,1
6639,79,0.938357527290738,1
6717,79,0.880457583510497,1
6795,79,0.926160770877974,1
6873,78,0.934663274717413,1
6950,80,0.900520449459299,1
7029,79,0.934846906971711,1
7107,79,0.902872429888578,1
7185,79,0.930153044836874,1
7263,79,0.878869646127427,1
7341,78,0.939679016296011,1
7418,80,0.896840797325062,1
7497,80,0.921032336860076,1
7576,79,0.930412145291301,1
7654,79,0.897090766847182,1
7732,81,0.934252428257616,1
7812,79,0.874292095922441,1
7890,79,0.911051788252146,1
7968,76,0.927686817649231,1
8043,76,0.943021748325962,1
8118,73,0.747949144152234,1
8190,74,0.938756517905756,1
8263,75,0.802227617350196,1
8337,76,0.934570570010078,1
8412,75,0.949974121448668,1
8486,77,0.964014311525679,1
8562,77,0.834317022646733,1
8638,77,0.952374519319446,1
8714,78,0.839107616118981,1
8791,77,0.942211176564816,1
8867,78,0.880205042654228,1
8944,77,0.946974007326567,1
9020,78,0.901647547708228,1
9097,77,0.941900578587161,1
9173,78,0.859980384396619,1
9250,76,0.938340521026537,1
9325,78,0.835378811201309,1
9402,77,0.895562467078568,1
9478,77,0.921450716710977,1
9554,75,0.758070755224575,1
9628,76,0.935332151725282,1
9703,74,0.826381449795577,1
9776,73,0.935575001411996,1
9848,75,0.954400183725022,1
9922,75,0.846874654475549,1
9996,75,0.957135856369924,1
10070,75,0.875943367523723,1
10144,76,0.952541042610689,1
10219,78,0.85806212709734,1
10296,77,0.953956739178371,1
10372,76,0.817592168335386,1
10447,76,0.96124446026406,1
10522,77,0.821703422387813,1
10598,78,0.943268145116941,1
10675,78,0.883241650339101,1
10752,77,0.949100704910591,1
10828,79,0.869346389256088,1
10906,77,0.947664710786295,1
10982,77,0.95773385968088,1
11058,78,0.890335460182923,1
11135,80,0.923847580576232,1
11214,77,0.846197802446858,1
11290,78,0.932449206395407,1
11367,78,0.958102655706321,1
11444,78,0.862348490886885,1
11521,78,0.941868580604412,1
11598,78,0.897275634705602,1
11675,77,0.955374231972618,1
11751,77,0.96066744819569,1
11827,77,0.96167025679805,1
11903,78,0.883528309527993,1
11980,77,0.946875257669776,1
12056,77,0.949182701049089,1
12132,76,0.902037310987096,1
12207,77,0.937854546498922,1
12283,77,0.940060605793531,1
12359,77,0.888938003620998,1
12435,77,0.923481779854965,1
12511,77,0.931165151043398,1
12587,76,0.958262256480007,1
12662,77,0.885190219517338,1
12738,77,0.952110157771127,1
12814,76,0.833754917065892,1
12889,78,0.943010293518448,1
12966,78,0.877816107606398,1
13043,78,0.950258497405257,1
13120,76,0.887871916275347,1
13195,76,0.940279048853027,1
13270,77,0.913584172097837,1
13346,76,0.945364010427502,1
13421,76,0.850110260923629,1
13496,76,0.94112689006929,1
13571,77,0.872304035094763,1
13647,78,0.942852933416001,1
13724,79,0.892703822632931,1
13802,78,0.949317546952071,1
13879,78,0.8739613086844,1
13956,77,0.948335278808299,1
14032,79,0.887852082959041,1
14110,77,0.940751976374104,1
14186,77,0.89386126686128,1
14262,78,0.930125487521457,1
14339,78,0.942537295104788,1
14416,80,0.946052314610534,1
14495,81,0.897550043691552,1
14575,79,0.934191280780532,1
14653,80,0.889724195767266,1
14732,78,0.939452485318763,1
14809,78,0.846031527827297,1
14886,79,0.932394192508752,1
14964,76,0.952476295800654,1
15039,77,0.908751351271431,1
15115,77,0.930722373233541,1
15191,76,0.948686998998243,1
15266,76,0.918713437428505,1
15341,78,0.936242272943932,1
15418,76,0.876070967377777,1
15493,78,0.947954916552019,1
15570,76,0.900858615234564,1
15645,77,0.931838402590614,1
15721,77,0.936411203327124,1
15797,77,0.913029624328155,1
15873,76,0.949905718494761,1
15948,76,0.891379756673762,1
16023,76,0.935578171831118,1
16098,77,0.889044538856011,1
16174,77,0.926722005636108,1
16250,77,0.927312471029528,1
16326,77,0.883212504369451,1
16402,78,0.930039965728508,1
16479,77,0.939868160614501,1
16555,77,0.878498371864851,1
16631,77,0.95033143739769,1
16707,76,0.869148589872219,1
16782,78,0.940396705305385,1
16859,77,0.887949785055517,1
16935,77,0.933872196049173,1
17011,77,0.937333407153193,1
17087,77,0.902416757715722,1
17163,75,0.945601857050042,1
17237,76,0.901914254497595,1
17312,77,0.941476405326852,1
17388,75,0.911593098199571,1
17462,76,0.928979254577016,1
17537,77,0.938859827882065,1
17613,77,0.894660056309956,1
17689,76,0.928948356777995,1
17764,76,0.939616749773654,1
17839,77,0.879742563555177,1
17915,76,0.923006047977705,1
17990,76,0.93147047572652,1
18065,76,0.915356015898461,1
18140,76,0.931123218978209,1
18215,76,0.93465607147419,1
18290,76,0.947501911355046,1
18365,76,0.855884226948838,1
18440,76,0.93075610383571,1
18515,76,0.906570082473392,1
18590,77,0.930269429513858,1
18666,76,0.93519677065203,1
18741,76,0.901439988554417,1
18816,76,0.934368251666685,1
18891,77,0.867465395627666,1
18967,78,0.903290825393361,1
19044,76,0.92333847236434,1
19119,77,0.945421883599771,1
19195,77,0.912450999899662,1
19271,75,0.929089600578418,1
19345,75,0.860024126920678,1
19419,76,0.910335791942469,1
19494,76,0.939607473700603,1
19569,76,0.876950996917007,1
19644,75,0.944762573428628,1
19718,76,0.879313817318035,1
19793,77,0.924646142391848,1
19869,76,0.934556165418199,1
19944,76,0.809064331058264,1
20019,77,0.91695432995688,1
20095,77,0.890751117604964,1
20171,75,0.919930763033716,1
20245,77,0.889639036182653,1
20321,76,0.91408064314528,1
20396,76,0.920180196223636,1
20471,77,0.906104344550387,1
20547,76,0.932079446736414,1
20622,77,0.905811448067659,1
20698,77,0.913355810731681,1
20774,77,0.892226863193263,1
20850,76,0.918900091118046,1
20925,78,0.915390991912362,1
21002,77,0.920184908924113,1
21078,79,0.89162289078905,1
21156,77,0.920909399696823,1
21232,80,0.940497164505694,1
21311,80,0.896097529911893,1
21390,82,0.895137732213582,1
21471,80,0.87844196709099,1
21550,80,0.940973818344015,1
21629,76,0.944753640719797,1
21704,78,0.911153137316339,1
21781,80,0.92552223923168,1
21860,82,0.902573016970935,1
21941,83,0.917585884475608,1
22023,78,0.933845632300069,1
22100,79,0.903119849175164,1
22178,77,0.92285331111601,1
22254,75,0.926306373482026,1
22328,78,0.937572943556565,1
22405,77,0.888781662356581,1
22481,78,0.902481491149614,1
22558,77,0.887211692866861,1
22634,78,0.922997311642908,1
22711,77,0.949168922347316,1
22787,78,0.880279268840903,1
22864,77,0.923148564897839,1
22940,76,0.928593388140901,1
23015,78,0.931429479457336,1
23092,77,0.945761216189403,1
23168,78,0.902489712120444,1
23245,78,0.94178790372019,1
23322,75,0.897576503987024,1
23396,77,0.924951495513958,1
23472,79,0.926175445008175,1
23550,74,0.83349780230177,1
23623,77,0.938409816330525,1
23699,76,0.886230950859441,1
23774,77,0.929786341625461,1
23850,75,0.936932499058313,1
23924,76,0.878500027190419,1
