"acc","tau_i","idx"
1.0427295910254,156,1
1.03393665183124,156,2
1.02444179922531,156,3
1.01115429089729,156,4
1.00934533238134,156,5
1.01502019684339,156,6
1.01317421996417,156,7
1.01574652349885,156,8
1.01841298106417,156,9
1.0171892645914,156,10
1.02044794085735,156,11
1.02465311203353,156,12
1.02377048209059,156,13
1.02053956317234,156,14
1.01645117934901,156,15
1.01645117934901,156,16
1.01178258534134,156,17
1.00346200725289,156,18
0.99949187090241,156,19
1.00315901032688,156,20
1.00325470345272,156,21
1.01849693175777,156,22
1.02699172343306,156,23
1.02724096491524,156,24
1.02331617792352,156,25
1.01584644508902,156,26
1.01189969858677,156,27
0.999411827026277,156,28
0.99555913937847,156,29
0.987373283009015,156,30
0.990182306446646,156,31
0.997591599804248,156,32
1.00477111821549,156,33
1.00822418141999,156,34
1.0080972175341,156,35
1.00802579332079,156,36
1.00407370247408,156,37
1.00828815325779,156,38
1.00440479887344,156,39
1.0085023549799,156,40
1.0087799561847,156,41
1.00912090455009,156,42
0.997238687576851,156,43
0.992599113439056,156,44
0.999290248126139,156,45
0.998672118365182,156,46
1.00601888650263,156,47
1.00171552848102,156,48
1.00605069454774,156,49
1.01456296009661,156,50
1.01396745509903,156,51
1.02937019579935,156,52
1.03771431521397,156,53
1.04113927982763,156,54
1.06077094605763,156,55
1.10016362419415,156,56
1.13078468330624,156,57
1.15701728595557,156,58
1.17287424730872,156,59
1.19228981376174,156,60
1.22565696669174,156,61
1.23752494924345,156,62
1.24767143110676,156,63
1.2582595121834,156,64
1.28620488259064,156,65
1.3196215366536,156,66
1.31708200200291,156,67
1.27195793955618,156,68
1.2148950571963,156,69
1.18018007100612,156,70
1.16247924712659,156,71
1.15815240793257,156,72
1.14014297349061,156,73
1.11215556465811,156,74
1.08505714135247,156,75
1.06493239222028,156,76
1.08750816088892,156,77
1.14974344964431,156,78
1.25780523134546,156,79
1.37633498829318,156,80
1.45093349261777,156,81
1.4641068950046,156,82
1.41230343765071,156,83
1.36669308917547,156,84
1.33363675714191,156,85
1.32071571505756,156,86
1.28287411697329,156,87
1.20489086642733,156,88
1.12403469697336,156,89
1.06060124457781,156,90
1.02547598704212,156,91
1.01253740671641,156,92
1.01288992491781,156,93
1.01070915697841,156,94
0.988496838639355,156,95
0.955782925145663,156,96
0.913123759410519,156,97
0.8491654726848,156,98
0.772976713750162,156,99
0.715028670753838,156,100
0.668785466349262,156,101
0.629606226144564,156,102
0.597122265536967,156,103
0.581712987649408,156,104
0.566036217922493,156,105
0.558103932973062,156,106
0.56006428202484,156,107
0.582146029789777,156,108
0.610794564481381,156,109
0.644509891312771,156,110
0.674288513916706,156,111
0.695397727922662,156,112
0.712887087833691,156,113
0.74701673341365,156,114
0.806625687664359,156,115
0.891800986767788,156,116
0.974989230709755,156,117
1.05083062384002,156,118
1.12526263600992,156,119
1.19473051354688,156,120
1.25592754568088,156,121
1.29531772164207,156,122
1.3471354794526,156,123
1.43813281723212,156,124
1.49555240630344,156,125
1.49272468995458,156,126
1.88639417938033,370,1
1.96896673410192,370,2
2.04309813763314,370,3
2.09306497749114,370,4
2.09045019074839,370,5
2.01218140335309,370,6
1.86912198638826,370,7
1.67867626420343,370,8
1.45851088442973,370,9
1.24426243212596,370,10
1.01579968497731,370,11
0.753871341808402,370,12
0.529032135129805,370,13
0.347525538629897,370,14
0.166616325730704,370,15
0.105593560409714,370,16
0.358163370544784,370,17
0.577661665683296,370,18
0.688250681074854,370,19
0.647013137424581,370,20
0.50738742593801,370,21
0.389690903152742,370,22
0.331786075657192,370,23
0.308069797286264,370,24
0.241799503721575,370,25
0.170964908680115,370,26
0.267262043694947,370,27
0.695233054450089,370,28
1.01347619606974,370,29
1.4084363670397,370,30
2.01389870648948,370,31
2.09627789188361,370,32
1.98841896993566,370,33
1.7486437601753,370,34
1.58595397158934,370,35
1.70812967891785,370,36
1.83958283314451,370,37
1.83699183449464,370,38
1.7652223655959,370,39
1.65419345906094,370,40
1.57685858592329,370,41
1.57475871167617,370,42
1.6156682827858,370,43
1.66764744475564,370,44
1.73130702072163,370,45
1.80717016354299,370,46
1.85122716056134,370,47
1.84467910488518,370,48
1.80198695888733,370,49
1.7262123276121,370,50
1.60648093670607,370,51
1.44163518270053,370,52
1.22111137903141,370,53
1.01126356604003,370,54
0.895114517813224,370,55
0.911844833291279,370,56
1.00300249251934,370,57
0.892386127189346,370,58
0.616159070370631,370,59
0.559209263156468,370,60
0.567973590935353,370,61
0.57421685799008,370,62
0.582560726448325,370,63
0.587021294332667,370,64
0.56729533754474,370,65
0.513651632918654,370,66
0.373525099558249,370,67
0.192273243068296,370,68
0.193889143584678,370,69
0.418202104251043,370,70
0.528516792543056,370,71
0.606136948222099,370,72
0.888951629730212,370,73
1.45741586378082,370,74
2.51054993975424,370,75
3.65818206217241,370,76
3.6233049830231,370,77
2.73129273421946,370,78
2.20399387476463,370,79
2.24046356810371,370,80
2.31672009530716,370,81
2.38285731843096,370,82
2.38285731843096,451,1
2.49979719177376,451,2
2.55761177663851,451,3
2.50307690652924,451,4
2.38167357125195,451,5
2.17007695716074,451,6
1.91047062264773,451,7
1.65805036111694,451,8
1.41900634248054,451,9
1.16495708075448,451,10
0.889884262137498,451,11
0.643491258681888,451,12
0.434125557874678,451,13
0.271687320278293,451,14
0.337326251572569,451,15
0.567296218919182,451,16
0.807701677601328,451,17
0.904258812508897,451,18
0.809668450663603,451,19
0.584442469367174,451,20
0.308116860947271,451,21
0.0352278299076171,451,22
0.140028568513714,451,23
0.251926576605169,451,24
0.505597666133854,451,25
1.00323177780611,451,26
1.39796852611209,451,27
2.21411426986052,451,28
2.5949691713005,451,29
1.92802204344245,451,30
1.49448787214885,451,31
1.52571229266858,451,32
1.79315755024482,451,33
2.29207002510831,451,34
2.19582831751483,451,35
1.95586323652754,451,36
1.7600877819018,451,37
1.61171461493653,451,38
1.59573838707979,451,39
1.72744261843918,451,40
1.8362325560778,451,41
1.84966672673755,451,42
1.81551783246544,451,43
1.80408785817099,451,44
1.79266003469704,451,45
1.75364021395496,451,46
1.70068721404025,451,47
1.6221766241689,451,48
1.50144929984332,451,49
1.27562102522654,451,50
1.02047880918714,451,51
0.921039087118457,451,52
1.02774169906645,451,53
1.11049988743809,451,54
0.964876157856541,451,55
0.83986903741,451,56
0.923587028925807,451,57
0.921033115582714,451,58
0.8217037178935,451,59
0.732853327753924,451,60
0.626825334523103,451,61
0.564179935836077,451,62
0.5623610939601,451,63
0.533604722617782,451,64
0.435321720110541,451,65
0.249234829026763,451,66
0.151904575309633,451,67
0.28725424278851,451,68
0.644927127666374,451,69
1.14317540211465,451,70
1.5867715651599,451,71
2.451833803503,451,72
3.56012443602748,451,73
3.87186582928696,451,74
2.72461098140634,451,75
1.83288706689747,451,76
1.97459210977862,451,77
2.41212458218891,451,78
2.61823165514436,451,79
2.61823165514436,529,1
2.64730693347031,529,2
2.60809585713409,529,3
2.56904768348118,529,4
2.43385065277227,529,5
2.21531149051324,529,6
1.97942365349109,529,7
1.70742906148396,529,8
1.37943539174548,529,9
1.0382037372308,529,10
0.746089806926753,529,11
0.52547978077182,529,12
0.391195603247276,529,13
0.330463311125456,529,14
0.382887711999223,529,15
0.587858826590194,529,16
0.76710233997818,529,17
0.819094622128604,529,18
0.766964145185419,529,19
0.615616763904298,529,20
0.383267530584056,529,21
0.224859956417322,529,22
0.301786348266452,529,23
0.567687413987663,529,24
0.985664243036136,529,25
1.47596917311982,529,26
2.42299360296308,529,27
2.56531752420631,529,28
1.85002324309723,529,29
1.3706133663437,529,30
1.51016654710664,529,31
2.0565940289712,529,32
2.5226139221054,529,33
2.19224382767976,529,34
1.74888650289263,529,35
1.48872730881112,529,36
1.3320792018495,529,37
1.40671532301315,529,38
1.62675689640462,529,39
1.84630739585801,529,40
1.96889943877284,529,41
1.95879452725394,529,42
1.91258437722366,529,43
1.87065603465736,529,44
1.81802557737783,529,45
1.74051256818214,529,46
1.60021123605604,529,47
1.36837933337215,529,48
1.09179760029046,529,49
0.911029088448882,529,50
0.865435150661215,529,51
0.914477993174248,529,52
0.948938881066636,529,53
0.920722542354644,529,54
0.986927048975759,529,55
1.02305718315254,529,56
0.948894620071165,529,57
0.824755721410891,529,58
0.666018768504312,529,59
0.548010036404444,529,60
0.479643617699642,529,61
0.38876213807417,529,62
0.292085603890366,529,63
0.38494285290157,529,64
0.516568485295028,529,65
0.518361842731504,529,66
0.655272462415444,529,67
0.989194116440247,529,68
1.739541893718,529,69
3.23758026927519,529,70
4.06275214602122,529,71
3.10329341184491,529,72
2.07281764755127,529,73
1.93603667320637,529,74
2.26946623680547,529,75
2.50556999503107,529,76
2.32621516631631,636,1
2.03802698706371,636,2
1.78339731972435,636,3
1.66218982068836,636,4
1.6714834728468,636,5
1.7636229755818,636,6
1.82545062929678,636,7
1.8069607079292,636,8
1.75330259795621,636,9
1.7300895930558,636,10
1.69564884336351,636,11
1.60252238673911,636,12
1.47572829477516,636,13
1.31775490892654,636,14
1.19322168937713,636,15
1.12374018349439,636,16
1.13674315480675,636,17
1.14524800807511,636,18
1.11691584284583,636,19
0.909084154520361,636,20
0.730433432969768,636,21
0.766552672684663,636,22
0.764427236563429,636,23
0.692741654587047,636,24
0.617826836581254,636,25
0.560001785711439,636,26
0.558449639627424,636,27
0.571470909145864,636,28
0.447953122547438,636,29
0.218437634120131,636,30
0.38001842060616,636,31
0.569112466916689,636,32
0.714483029889444,636,33
1.05427510641198,636,34
1.59724606745486,636,35
2.78326462989059,636,36
4.14755289297195,636,37
3.88037678582892,636,38
2.42856521427776,636,39
1.7967442778537,636,40
2.07918108879434,636,41
2.481200314364,636,42
2.6057409694749,636,43
2.54872007093757,636,44
2.47957476192996,636,45
2.42671733005721,636,46
2.32814690258154,636,47
2.13946254933336,636,48
1.85771822405875,636,49
1.5137377580017,636,50
1.17308183857734,636,51
0.849349162594513,636,52
0.585182022963795,636,53
0.453601146383031,636,54
0.389391833504505,636,55
0.446059413083056,636,56
0.639145523335649,636,57
0.818322063737744,636,58
0.92060089072301,636,59
0.873045817812559,636,60
0.684778066237522,636,61
0.442793405551618,636,62
0.247103217299978,636,63
0.162794348796265,636,64
0.265958643401563,636,65
0.451501937980337,636,66
0.951748916469044,636,67
1.8579930032161,636,68
2.70621026529721,636,69
3.68008152083619,636,70
2.61040418326358,636,71
1.16239494148934,636,72
0.890528494771504,636,73
1.04543101159283,636,74
1.63679992668622,636,75
2.44047966596733,636,76
2.44047966596733,711,1
2.35882343552882,711,2
1.99132644234942,711,3
1.89278366434202,711,4
1.93126901285139,711,5
1.97047354714546,711,6
1.94094229692693,711,7
1.88986824937613,711,8
1.86163476546824,711,9
1.84249450474079,711,10
1.77406566958498,711,11
1.62454455155899,711,12
1.43862051980361,711,13
1.26262623131313,711,14
1.17010854197378,711,15
1.19375835075613,711,16
1.21083813947199,711,17
1.11701119063329,711,18
0.900747467384727,711,19
0.857481778232051,711,20
1.06935027002381,711,21
1.15273327357199,711,22
1.08641566630825,711,23
