"tau_i","T_i","sim_i","template_i"
3,72,2.06027739704852e-08,2
75,68,7.89605618166861e-08,2
150,107,0.758452893225711,1
257,71,0.886418786819539,1
371,81,0.7907752617998,1
451,78,0.796513850500013,1
528,75,0.790114792775661,1
602,75,0.806591197995894,1
676,76,0.801645581175097,1
751,75,0.817945861389783,1
825,77,0.822685999374289,1
901,76,0.807707473473581,1
976,76,0.797231037491385,1
1051,75,0.808791830100734,1
1125,77,0.809514229079732,1
1201,76,0.824166011026176,1
1276,76,0.804021996209633,1
1351,75,0.811257692729596,1
1425,77,0.805216961839234,1
1501,75,0.793311196153369,1
1575,77,0.785526071828632,1
1651,77,0.843911642904198,1
1727,78,0.810238782237213,1
1804,78,0.795775184895465,1
1881,78,0.800662377650842,1
1958,76,0.794875511044469,1
2033,78,0.798385172531623,1
2110,78,0.817582565043351,1
2187,76,0.810447291697174,1
2262,77,0.803925063995646,1
2338,77,0.797295101454248,1
2414,77,0.796776422017404,1
2490,77,0.798958799833368,1
2566,78,0.801340012946236,1
2643,76,0.807127680543445,1
2718,77,0.80892382847178,1
2794,77,0.814158601927966,1
2870,76,0.805979837057887,1
2945,77,0.823188064061623,1
3021,78,0.82805663362422,1
3098,76,0.823598266104645,1
3173,79,0.774633301041259,1
3251,77,0.775689938213,1
3327,76,0.830216854791105,1
3402,75,0.810603020185691,1
3476,78,0.822655750373213,1
3553,78,0.802741642956956,1
3630,77,0.78196840722073,1
3706,77,0.817182758460874,1
3782,76,0.804407013562336,1
3857,77,0.810702213730397,1
3933,79,0.794392250374475,1
4011,76,0.801084040357459,1
4086,77,0.809753999813818,1
4162,78,0.785114772493818,1
4239,76,0.810609092438744,1
4314,77,0.817987338796347,1
4390,78,0.821826472355873,1
4467,78,0.818664098772188,1
4544,78,0.774841539520845,1
4621,80,0.806633294639617,1
4700,80,0.800515354996439,1
4779,79,0.809620867946249,1
4857,79,0.803544935507598,1
4935,76,0.81206899162117,1
5010,79,0.803547417424893,1
5088,77,0.782084005500487,1
