"tau_i","T_i","sim_i","template_i"
13120,76,0.794653768841463,1
13228,76,0.847681826781659,1
13346,76,0.781623858876054,1
13421,76,0.691800945830943,1
13496,76,0.798562054512403,1
13605,77,0.773504097158757,1
13681,79,0.805526181989165,2
13759,77,0.820177458825596,1
13835,79,0.789399037611307,1
13913,77,0.812049363490692,1
13989,78,0.79916797216959,1
14066,78,0.818903244403504,1
14186,77,0.835493777177052,1
14296,78,0.803308565000822,1
14373,78,0.815128194560096,1
14450,81,0.831939824740325,1
14575,79,0.79698628101207,1
14688,78,0.830826564491741,1
14809,78,0.792963384367858,1
14886,79,0.826293893279681,1
14997,77,0.786488084126817,1
15073,76,0.820892022162993,1
15148,77,0.82387586595973,1
15224,76,0.818278385862057,1
15299,77,0.779301695145177,1
15375,77,0.822449222898794,1
15451,77,0.787178203622302,1
15527,77,0.803359354477192,1
15603,77,0.786565084733012,1
15679,76,0.810646262695654,1
15754,78,0.803618972550231,1
15831,76,0.812786553323675,1
15906,76,0.803665281679437,1
15981,77,0.843041309994316,1
16057,75,0.818151793514699,1
16131,77,0.808397298846832,1
16207,77,0.753632837759886,1
16283,78,0.799206049898336,1
16360,77,0.826437927828134,1
16436,78,0.797404315412871,1
16513,77,0.801069575130881,1
16589,77,0.812421191308702,1
16707,76,0.798598454324015,1
16817,76,0.821848781765884,1
16892,77,0.784196080268494,1
16968,78,0.802572767863562,1
17045,77,0.817702816331545,1
17121,76,0.810024424482966,1
17196,76,0.831917112401651,1
17271,76,0.806620743803368,1
17346,76,0.800851158750668,1
17421,76,0.799989830343084,1
17496,76,0.810164986192028,1
17571,77,0.772848356821246,1
17647,76,0.806799727824042,1
17722,76,0.801239742690081,1
17797,76,0.824243107322153,1
17872,77,0.80478428364956,1
17948,77,0.76574792297229,1
18024,74,0.829918677984678,1
18097,78,0.805549369518561,2
18174,75,0.837587953229243,1
18248,76,0.82061965195736,1
18323,75,0.798645033491166,1
18397,76,0.803155018051666,1
18472,78,0.820187380496938,2
18549,76,0.822165541764719,1
18624,76,0.79330990395177,1
18699,76,0.804289397293814,1
18774,76,0.80203886858723,1
18849,77,0.793719894344364,1
18925,78,0.803587923925269,1
19002,77,0.808874855182594,1
19078,75,0.818187618593269,1
19152,78,0.831282907884735,1
19229,76,0.779221851480839,1
19304,75,0.796731944356822,2
19378,76,0.807559648489948,1
19453,75,0.774292737145234,1
19527,76,0.766655498524773,1
19602,74,0.787060307072394,1
19675,77,0.799552262260717,1
19751,76,0.797535579207673,1
19826,77,0.771001321193201,1
19902,76,0.76261335354477,1
19977,77,0.798114668905024,1
20053,77,0.78996680189499,1
20129,76,0.823934270141215,1
20204,77,0.719396729991988,1
20280,76,0.781494622536376,1
20355,75,0.805017342314195,1
20429,78,0.7634631816562,1
20506,75,0.805289110365684,1
20580,77,0.774936343518326,1
20656,77,0.79936565351798,1
20732,78,0.772532375034642,1
20809,76,0.825433839055328,1
20884,77,0.800345288587455,1
20960,76,0.794223314028979,1
21035,79,0.828669351094244,2
21113,77,0.831437199815581,1
21189,80,0.776511080765522,1
21268,79,0.802325688633374,1
21390,82,0.837456986922058,2
21507,79,0.799471083601352,1
21585,77,0.80631008919279,1
21704,78,0.828853882584296,2
21781,80,0.744116850653843,1
21860,82,0.833774011720383,2
21980,79,0.8171967291675,2
22058,79,0.790962552841736,1
22136,76,0.842995041400709,1
22211,77,0.830254769186805,1
22287,77,0.78161551676077,1
22363,77,0.804759654298319,1
22439,79,0.823844214517011,2
22517,77,0.809182931652652,1
22593,77,0.813134940222216,1
22669,77,0.826339014992989,1
22745,77,0.810287712852011,1
22821,78,0.82942177918406,1
22898,76,0.799658740093102,1
22973,78,0.761062445366013,1
23050,77,0.795763224235014,1
23126,78,0.812778171385557,1
23203,77,0.814244236271064,1
23279,77,0.807386563282263,1
23355,76,0.810038851410274,1
23430,78,0.803244650380368,1
23507,77,0.756179092470313,1
23583,74,0.85313008594667,1
23656,77,0.777746056264963,1
23732,77,0.828793117238635,1
23808,76,0.791796534218834,1
23883,75,0.687047229005651,1
23957,75,0.806762859709952,1
24031,77,0.801177557730081,1
24107,78,0.768077459965243,1
24184,77,0.807788030925573,1
24260,77,0.798621645770262,1
24336,76,0.770782189460526,1
24411,78,0.814115953824705,2
24488,76,0.807000471504263,1
24563,78,0.782362238734387,1
24640,75,0.836525525294797,1
24714,78,0.7739618119859,1
24791,77,0.803140107483159,1
24867,78,0.778929664605839,1
24944,78,0.809476227388275,1
25021,77,0.841606411682342,1
25097,78,0.793687588307525,1
25174,77,0.774579430997576,1
25250,78,0.789668807114839,1
25327,78,0.792978606763251,1
25404,79,0.821416188010075,1
25482,80,0.793578033618154,1
25561,78,0.762202534846333,2
25638,79,0.836072728038454,2
25716,77,0.828650366462857,1
25792,81,0.821337820872527,2
25872,77,0.869526616682272,1
25948,77,0.788378214384862,1
26024,76,0.824665718573448,1
26099,78,0.828413090202034,1
26176,74,0.75420795696979,2
26249,78,0.799324116631944,1
26326,77,0.81842879345827,1
26402,75,0.800239509527706,1
26476,77,0.821546022586842,1
26552,76,0.792613183398487,1
26627,77,0.81721800976082,1
26703,76,0.81800723877995,1
26778,76,0.787690609690466,1
26853,75,0.818943174950286,1
26927,76,0.811644078448265,1
27002,77,0.770243377294856,1
27078,77,0.766718682142273,1
27154,78,0.784000938849893,1
27231,76,0.797242478910763,1
27306,77,0.79573973078274,1
27382,77,0.80449067085111,1
27458,76,0.761843667273017,1
27533,76,0.78162578019937,1
27608,76,0.790228645846192,1
27683,78,0.811807630373802,1
27760,72,0.733197367383394,1
27831,75,0.780251439695539,1
27905,75,0.794767510019374,1
27979,73,0.727175582889953,1
28051,79,0.803810492355369,1
28129,77,0.79726241635403,1
28205,76,0.808226120820319,1
28280,75,0.796539041738191,1
28354,76,0.809805228204876,1
28429,75,0.796328836567636,1
28503,74,0.816588381426655,1
28618,73,0.757224746533742,1
28690,73,0.778375965571394,2
28797,76,0.779299437113779,1
28872,75,0.818129987054835,1
28946,76,0.763294793135411,1
29021,76,0.826014278001382,1
29096,76,0.798242901262635,1
29171,80,0.817676754477371,2
29250,78,0.797853693137921,1
29327,81,0.794639931426173,1
29407,87,0.820089120916874,2
29493,120,0.851682745459972,2
29617,116,0.71277453305576,2
29758,112,0.748743628006232,1
29869,60,0.352401854618995,2
29928,50,0.756513643230505,1
29977,53,0.66875982615203,2
30087,52,0.879686358986596,2
30138,73,0.600198148205614,1
30214,50,0.755575827661817,2
30263,67,0.693034814008007,2
30359,64,0.694544561132168,2
30422,94,0.832250318725544,1
30555,108,0.840907131992128,1
30670,101,0.708006487024549,1
30816,54,0.729701706529338,2
30870,71,0.81614557069957,2
30940,62,0.490710812863626,2
31001,83,0.658351981855809,2
31084,50,0.817547261430155,1
31133,70,0.59094559485254,1
31218,129,0.867771290607912,1
31354,61,0.648022757388376,1
31414,63,0.712503417034178,2
31488,87,0.525972171390207,2
31574,78,0.826574899607968,2
31651,53,0.634448065550329,1
31703,109,0.856117232424498,1
31811,72,0.754784517842433,1
31882,79,0.869314803554825,1
31960,76,0.762583072381556,1
32035,76,0.781772010705274,1
32110,74,0.815898356412809,2
32215,77,0.77616109146787,2
32291,76,0.827665255781795,1
32366,77,0.782159931137272,1
32442,74,0.847872281938284,1
32515,76,0.762227376285861,1
32590,76,0.801310439359072,1
32665,74,0.827392660172354,1
32780,76,0.80599458514921,1
32886,74,0.788947553378741,1
32959,75,0.79781500230265,1
33033,74,0.774776569534397,1
33106,73,0.787412789306308,1
33178,72,0.752752562183412,1
33249,73,0.773291136141683,1
33321,73,0.776197172118014,1
33434,76,0.757841227485054,2
33509,75,0.780546958069958,2
33617,75,0.799342698733884,1
33691,76,0.783074081060876,1
33766,75,0.793077521744134,1
33840,75,0.844609185833348,1
33914,77,0.80801270211692,1
33990,76,0.784988022831369,1
34065,77,0.769277038140806,1
34141,74,0.807564870118636,1
34214,77,0.756766855001656,2
34290,75,0.858777544195855,1
34364,77,0.847865192984996,1
34440,74,0.838173372768208,1
34513,75,0.773637350849641,1
34587,75,0.790425219483925,1
34661,75,0.814833050774239,1
34735,75,0.782584266883024,1
34809,77,0.842811591121313,1
34885,77,0.809441606500204,1
34961,75,0.813607533738181,1
35035,75,0.776344549130229,1
35109,77,0.774686961182496,1
35185,76,0.780276803603331,1
35260,75,0.811017140455813,1
35334,77,0.863915639053622,1
35410,79,0.825982095016996,1
35488,79,0.778816861375969,1
35566,77,0.835773574403058,1
35642,79,0.812395120491507,1
35720,78,0.81207092765555,1
35840,79,0.810295567185685,1
35952,79,0.802804726088705,1
36030,77,0.805285039567934,1
36106,76,0.801608724505572,1
36181,78,0.78902928089077,1
36301,79,0.802009700556157,1
36413,80,0.780237210149229,1
36492,78,0.809558845696073,1
36569,77,0.801767640658968,1
36645,79,0.796448449072057,1
36723,78,0.81549892701741,1
36843,78,0.805985460569684,1
36954,79,0.810056684489492,1
37032,78,0.815932427336183,1
37109,78,0.780699641686875,1
37186,76,0.800870549404551,1
37261,78,0.774576640212696,1
37338,76,0.80951803016652,1
37413,78,0.770829464790552,1
37490,78,0.831855459564989,2
37567,77,0.787714019927632,1
37643,76,0.857821174755013,1
37718,76,0.811974845504846,1
37793,76,0.789839370963092,1
37868,77,0.809442834988064,1
37944,78,0.775353807684896,1
38021,77,0.768901610880692,1
38097,76,0.811322857991984,1
38172,78,0.779168479280466,1
38249,77,0.802598444970078,2
38325,77,0.829584474447106,1
38401,77,0.793606037603218,1
38477,76,0.819040244121654,1
38552,77,0.778985865548738,1
38628,77,0.804028089623553,1
38745,75,0.804881745572857,1
38852,75,0.784140383756464,1
38926,75,0.778836635954078,1
39000,74,0.782161436698503,1
39073,77,0.77409670264559,1
39149,76,0.777670905051289,1
39224,75,0.779610441981632,1
39298,75,0.787529226617503,1
39414,76,0.783262036830498,2
39522,77,0.830208160839989,1
39598,77,0.806413486491849,1
39674,78,0.809419273159813,1
39751,77,0.807862195185848,1
39870,78,0.8015406380622,1
39982,79,0.807110581436223,1
40060,78,0.790982368886896,1
40137,79,0.774213727954238,2
40215,77,0.783724521998461,2
40291,78,0.820535755290359,1
40368,78,0.811171518636993,1
40445,78,0.782165205790526,1
40522,84,0.766169105431336,1
40605,97,0.816183817270701,2
40740,51,0.572237524167582,1
40797,64,0.804070832025069,2
40886,50,0.463063137928099,2
40935,62,0.857651049306353,1
41017,58,0.704159330004788,1
41092,50,0.658803060531478,1
41143,64,0.791540804775395,2
41255,66,0.655869556522088,2
41328,50,0.531393272456334,1
41406,57,0.618064012181823,1
41462,62,0.796886346093456,1
41534,53,0.795176237977925,1
41622,60,0.718700088443762,2
41701,58,0.808337648383464,1
41758,57,0.30120139693079,2
41823,55,0.588117951912304,2
41877,62,0.3849356884373,2
41938,65,0.71839802584967,1
42002,50,0.756658280935826,2
42083,50,0.787085732416358,1
42132,59,0.609885636110226,1
42227,56,0.649982988294679,1
42319,79,0.702364695211763,2
42407,74,0.528833356129235,2
42480,55,0.604647649174508,1
42546,50,0.650538677718751,2
42643,63,0.809452264563748,2
42743,53,0.53124188633926,2
42795,54,0.28927586909557,1
42848,63,0.701578231331635,2
42920,50,0.314978050790421,2
42969,50,0.692411125868141,1
43039,54,0.550700639304834,1
43105,62,0.607592049490835,2
43178,68,0.723066406691551,1
43256,65,0.757353383898412,1
43320,73,0.641175320740402,1
43420,59,0.621874523581923,2
43478,52,0.487925939288396,1
43545,50,0.622709423439053,1
43631,55,0.624752231196098,2
43685,77,0.468609168132793,2
43761,60,0.712054342134856,2
43854,52,0.664231704524081,2
43905,54,0.504099053848227,1
43960,67,0.768019987990032,2
44044,73,0.483342998211332,2
44118,66,0.635163685257257,2
44222,72,0.747425086522592,2
44298,80,0.666469923264427,1
44423,72,0.779617489103147,1
44503,50,0.649432040551194,2
44582,167,0.506266102113756,2
44748,61,1.85802322973566e-08,1
44842,64,1.00584864023883e-07,1
44918,91,1.85802322973566e-08,2
45053,63,0.6007783114428,2
45115,56,0.720393745408013,2
45189,62,0.66369925815815,1
45277,59,0.553370925859283,1
45335,58,0.743612512810867,2
45392,55,0.298197108982117,1
45446,63,0.622202793589995,2
45519,67,0.579651892048197,2
45607,58,0.578700728705934,1
45664,50,0.693042769564398,2
45752,71,0.677240503568249,1
45828,57,0.60011725302079,2
45884,63,0.708776401978164,1
45958,60,0.62210330098022,1
46017,88,0.659886924197894,2
46104,53,0.251311757458463,1
46176,55,0.606365593578994,2
46230,53,0.68601447603981,1
46282,50,0.241336846905782,1
46336,50,1.85802322973566e-08,1
46385,75,1.85802322973566e-08,2
46488,52,1.23384447094536e-07,2
46539,80,1.81262031446214e-08,2
46618,50,1.81262031446214e-08,2
46691,52,9.5209716596135e-08,2
46783,63,0.599567686937216,1
46848,76,0.671443338310744,2
46923,50,0.76148381694162,2
47010,68,0.758109004637164,2
47084,68,0.58146453209367,1
47151,62,0.790219569687865,2
47230,51,0.468643892373851,2
47281,55,0.614129183442832,1
47357,72,0.584918083891219,2
47466,53,0.643185130476228,2
47552,52,0.530854631571812,1
47603,50,0.709034146281774,2
47652,86,0.510365272329082,2
47766,52,0.711021130042576,2
47817,51,0.666183265167336,1
47867,51,0.757061260345238,2
47945,56,0.838520577514122,2
48000,57,0.38447291566018,1
48056,57,0.638745369215239,1
48112,50,0.532092586574517,2
48180,66,0.710521217428833,2
48282,68,0.762503291128412,2
48386,51,0.426710773260839,2
48436,115,0.835877426044224,1
48570,66,0.73961701296072,1
48635,84,0.840399996136431,1
48718,78,0.792762322847879,1
48795,77,0.826796995777048,1
48904,76,0.811914831342677,1
48979,74,0.815442509032573,1
49052,74,0.768942653104757,1
49125,75,0.825560991425527,1
49199,75,0.773300429475929,2
49273,76,0.819313322499569,1
49348,73,0.77958179655378,1
49420,73,0.809965458160798,1
49492,76,0.760652954518763,1
49567,82,0.726160965339402,1
49648,79,0.812831878574183,2
49759,73,0.810950454788367,2
49831,78,0.828799218198159,1
49917,76,0.83408026986037,2
49996,59,0.880355773106955,1
50083,70,0.631926090562187,1
50166,121,0.816976256034916,1
50300,63,0.600248225973656,1
50362,82,0.866569208971059,1
50477,77,0.822891370530036,1
50594,75,0.817850218197996,1
50700,73,0.782417275471153,1
50772,75,0.815966350675332,1
50846,74,0.766480487970126,1
50919,76,0.778129957096121,1
50994,74,0.794304559089951,1
51109,79,0.799652505312087,2
51187,88,0.654209319651302,2
51294,50,0.686558127472031,2
51381,51,0.687757023664334,1
51437,65,0.573573529195693,2
51501,67,0.750450848519175,2
51567,73,0.703382957328423,1
51639,56,0.785496101766437,1
51694,100,0.545182148234237,2
51812,94,0.826040896713514,1
51905,69,0.692468747257973,1
51973,78,0.857409620268444,1
52082,76,0.805824147874239,1
52199,76,0.797484645875417,1
52305,77,0.765215389894283,1
52381,76,0.814539938823691,1
52456,75,0.779508880734444,1
52530,76,0.799431244186619,1
52605,77,0.798793858638488,1
52681,77,0.819542183323623,1
52757,76,0.813917059665084,1
52832,74,0.797826296703181,1
52948,76,0.809174466249856,2
53023,76,0.82011729639404,1
53131,75,0.824534560176799,1
53205,77,0.831303754231403,1
53281,78,0.818543893243022,1
53358,77,0.795625979799369,1
53434,76,0.82291171815746,1
53551,76,0.802707129260402,1
53659,76,0.797265945368454,1
53734,77,0.834633140286352,1
53810,75,0.815049011952989,1
53927,77,0.81510035435257,1
54003,76,0.766968601382995,1
54187,76,0.808136886327302,1
54262,75,0.81953329574331,1
54336,77,0.770857724942822,1
54412,76,0.80770591024394,1
54487,79,0.817031327361516,1
54565,76,0.784302127194393,1
54683,78,0.800586768036598,1
54760,78,0.821706329280782,1
54837,78,0.785359786318737,1
54914,79,0.806601647513846,1
55027,79,0.803743608835026,1
55105,79,0.829345502292432,1
55183,78,0.846611628710972,1
55304,79,0.823273936496644,1
55382,79,0.76275510317751,1
55460,79,0.826785560913729,1
55538,78,0.738986688606047,1
55615,79,0.81241367713213,1
55728,79,0.797147694522723,1
55806,80,0.811511939681098,1
55885,78,0.779748400830897,1
55962,79,0.811039445786409,1
56040,79,0.821644385679426,1
56118,78,0.801861418017277,1
56195,78,0.775383226581171,1
56272,79,0.794474470802463,1
56350,79,0.8107416484269,1
56472,80,0.787044468453236,1
56551,79,0.81705682081372,1
56663,79,0.7816449446376,1
56741,78,0.773490834290249,1
56818,79,0.814719070116125,1
56896,78,0.820377926485784,1
56973,76,0.773992610637862,1
57048,76,0.82166322322045,1
57123,76,0.786456776365548,1
57198,77,0.811763289157152,1
57274,78,0.839440602484361,1
57395,79,0.824554816197308,1
57507,80,0.816758606322354,1
57586,80,0.785424824012647,1
57665,78,0.843660572928002,1
57786,79,0.796672954761886,1
57898,77,0.795217542049888,1
58017,79,0.798564170506809,1
58129,79,0.775836709803837,1
58207,79,0.810958374051708,1
58330,78,0.841586568016336,1
58407,79,0.776310174267981,1
58485,78,0.805131689638463,1
58595,77,0.781809735835637,1
58671,78,0.751945606778425,1
58748,80,0.805891675622643,1
58827,79,0.804336118963273,1
58950,79,0.814550054323436,1
59062,79,0.785292303500532,1
59140,78,0.8253398323734,1
59217,77,0.80341120909714,1
59293,80,0.815903223055619,1
59415,79,0.813113528101252,1
59493,79,0.822825794569049,1
59571,80,0.786899538494998,1
59650,78,0.793899850623428,1
59727,79,0.80652850056602,1
59840,79,0.785847974780466,1
59918,79,0.815721222099816,1
59996,78,0.792443909477129,1
60073,78,0.779998730790329,1
60150,77,0.807213882310729,1
60270,78,0.775594604588454,1
60347,77,0.80016559123047,1
60456,79,0.760387696495331,1
60534,78,0.804130477633005,1
60656,79,0.78959803629978,1
60734,79,0.789607409904741,1
60812,79,0.738948646659631,1
60890,79,0.763832243469905,2
60968,78,0.792860040514731,1
61079,78,0.791097278543063,1
61156,78,0.787397931229693,1
61233,78,0.770473163669379,1
61310,77,0.762354880386022,1
61386,77,0.80048797686379,1
61462,78,0.771512575809415,1
61582,78,0.789901041517489,1
61659,78,0.72166125395388,1
61736,79,0.780422139089276,1
61814,79,0.794194419799777,1
61925,78,0.792041845406845,1
62045,80,0.790160677016374,1
62124,80,0.801718596190236,1
62238,79,0.83058461130895,1
62316,78,0.783181903870226,1
62393,78,0.805107301250642,1
62470,80,0.783244698772277,1
62549,79,0.807853243504586,1
62627,79,0.812727978487769,1
62705,79,0.804388227414668,1
62783,79,0.786295909717503,1
62861,80,0.803940327882828,1
62940,79,0.812246354306663,1
63018,79,0.787220532470184,1
63096,80,0.803767007128474,1
63175,79,0.810094593223019,1
63253,79,0.778036701951957,1
63331,80,0.837528057030176,1
63454,79,0.805735836921283,1
63565,80,0.793972508467659,2
63644,78,0.799999204033177,1
63721,78,0.812047809441245,1
63842,79,0.817210298100671,1
63957,78,0.807313152127151,2
64034,80,0.802900359586165,1
64113,78,0.807338962763729,1
64190,78,0.817167105297748,1
64267,79,0.792221691354745,1
64345,79,0.816363877279837,1
64423,79,0.778079523164966,1
64544,79,0.797124572002794,1
64656,80,0.781492318678139,1
64779,81,0.790619173906684,1
64859,79,0.802355756074503,1
64972,81,0.820899889783099,1
65052,79,0.780934205866245,1
65174,79,0.81823811968638,1
65252,79,0.738444423757434,1
65330,78,0.810761463518849,1
65441,78,0.779969517728095,1
65518,78,0.782754863074165,1
65595,80,0.814848167387614,1
65674,77,0.767920476793372,1
65750,77,0.789968338392779,1
65826,79,0.762105816525005,1
65904,78,0.761294609158995,1
65981,79,0.768551191744779,2
66059,77,0.781489479109086,1
66135,78,0.819015539666832,1
66212,78,0.772894126565711,1
66289,78,0.761005942289603,1
66366,78,0.7711076090772,1
66443,78,0.784805300081403,1
66520,78,0.759629768769221,1
66597,81,0.79020661170999,1
66677,78,0.809825599385705,1
66754,79,0.748793548353446,1
66832,78,0.798132624732312,1
66909,77,0.768533297058988,1
66985,79,0.791906476938053,1
67107,79,0.813295212685635,1
67220,81,0.813756578514549,1
67300,82,0.792857006872233,1
67381,80,0.843015988144031,1
67460,81,0.824168028770384,1
67540,78,0.750976137365852,1
67617,80,0.801057446402626,1
67696,79,0.809179930940088,1
67774,78,0.824618856977146,1
67851,78,0.81002910404725,1
67928,78,0.789179260689685,1
68005,77,0.804754870916295,1
68081,79,0.789879527613985,1
68159,79,0.771664834033694,1
68237,79,0.817007789343019,1
68315,78,0.807002881242234,1
68392,77,0.793880161958897,1
68468,76,0.806309247070083,1
68587,78,0.76922419029276,1
68698,79,0.767940837752182,1
68776,78,0.77042298340962,1
68853,78,0.789389798124493,1
68974,78,0.78685594014583,1
69084,77,0.759978621685131,2
69202,76,0.771344566164426,1
69310,74,0.723037411890108,1
69383,78,0.778808703902081,1
69460,77,0.791490543720938,1
69579,78,0.768796333391055,1
69688,78,0.791195704507823,1
69765,78,0.769320922337781,1
69885,77,0.781037767477008,1
69961,77,0.698220409689326,1
70037,77,0.772956520345615,2
70113,76,0.784452287063269,1
70188,78,0.742232152158862,1
70265,78,0.783413270373848,1
70375,78,0.770070574640652,1
70452,79,0.774334221030699,1
70575,79,0.773249353455235,1
70653,78,0.786955073195543,1
70730,77,0.704452553111732,1
70806,78,0.773056778750079,1
70883,78,0.798035080996699,1
70960,79,0.733875453330277,1
71038,79,0.799955839236553,2
71150,78,0.777874226371846,1
71270,76,0.744014416548649,2
71345,78,0.748424695005907,1
71455,78,0.750501207763759,1
71532,78,0.775355885393968,1
71609,79,0.805517917807896,1
71687,78,0.769601244868453,1
71764,78,0.802365102108065,1
71841,78,0.76540608889776,1
71918,78,0.77570749083652,1
71995,78,0.808301408140158,1
72072,81,0.77966957421565,1
72230,79,0.820521104409263,2
72308,77,0.740530648031914,2
72384,75,0.781158642232257,1
72458,77,0.788521961367475,1
72578,78,0.781735294366374,2
72655,80,0.799175574918061,1
72734,79,0.752392135028672,1
72812,78,0.78134365928478,1
72924,80,0.829436013237467,1
73003,79,0.794965687575663,1
73081,76,0.765381802292886,1
73156,79,0.818493543608675,1
73234,79,0.810969473722323,1
73357,84,0.802098548418663,1
73475,80,0.821440701334382,1
73554,79,0.799385292902526,1
73632,78,0.789574147559519,2
73709,77,0.783738597359115,1
73829,79,0.799691892363032,2
73907,79,0.763466613926658,1
74020,80,0.827575503975442,1
74099,81,0.788396935078703,1
74179,74,0.708731374202586,1
74252,112,0.924745657928478,2
74367,117,0.798410177456716,2
74483,128,0.903394205975559,2
74617,123,0.883657421078933,1
74745,128,0.869367082465083,1
74877,126,0.768094217568936,2
75002,133,0.902045750553741,2
75134,135,0.892873319324754,1
75275,128,0.71555754274732,1
75402,142,0.892542747022044,2
75543,129,0.902627576951465,2
75671,130,0.818871629847235,1
75800,116,0.810769705274536,1
75915,77,0.564165589787148,2
76004,98,0.803957145563839,1
76101,111,0.932876737634656,1
76220,110,0.863030312028371,1
76329,117,0.924561156664551,2
76453,113,0.877459791267199,1
76572,117,0.779588724725925,2
76688,120,0.902446419472288,2
76812,118,0.877000708113119,1
76929,124,0.802749498131155,1
77052,78,0.665183780249775,2
77147,50,0.878294910264103,2
77243,54,0.735350853483393,1
77296,88,0.49895180883264,1
77404,56,0.654332216485317,1
77459,55,0.752794241643411,2
77534,65,0.696326769922846,2
77598,71,0.817471688330387,2
77706,50,0.693071694800285,2
77792,55,0.685465456976942,2
77846,58,0.201856728316628,1
77903,55,0.738431657787759,2
